votes DEM president,votes REP president,votes DEM senate,votes REP senate,votes DEM governors,votes REP governors,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,votes REP president perc,votes DEM president perc,votes REP senate perc,votes DEM senate perc,votes REP governors perc,votes DEM governors perc
7503,19838,8277.0,0.0,0.0,0.0,55036.0,26899.0,28137.0,2.7,75.4,18.9,0.3,0.9,0.0,41016.0,55317.0,2838.0,27824.0,2024.0,13.7,20.1,35.3,18.0,23.2,8.1,15.4,86.0,9.6,0.1,0.6,1.3,2.5,25.8,24112.0,74.1,20.2,5.6,0.1,5.2,0.7255769723126441,0.274423027687356,0.0,0.29439800818068645,0.0,0.0
24578,83544,28925.0,0.0,0.0,0.0,203360.0,99527.0,103833.0,4.4,83.1,9.5,0.8,0.7,0.0,155376.0,52562.0,1348.0,29364.0,735.0,11.8,16.1,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27.0,89527.0,80.7,12.9,6.3,0.1,5.5,0.7726827102717301,0.22731728972826992,0.0,0.25718197903422274,0.0,0.0
4816,5622,5021.0,0.0,0.0,0.0,26201.0,13976.0,12225.0,4.2,45.7,47.8,0.2,0.6,0.0,20269.0,33368.0,2551.0,17561.0,798.0,27.2,44.9,25.0,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878.0,74.1,19.1,6.5,0.3,12.4,0.538608928913585,0.461391071086415,0.0,0.47176547965799115,0.0,0.0
1986,7525,2244.0,0.0,0.0,0.0,22580.0,12251.0,10329.0,2.4,74.6,22.0,0.4,0.0,0.0,17662.0,43404.0,3431.0,20911.0,1889.0,15.2,26.6,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30.0,8171.0,76.0,17.4,6.3,0.3,8.2,0.791189149405951,0.208810850594049,0.0,0.22970621353260312,0.0,0.0
2640,24711,3290.0,0.0,0.0,0.0,57667.0,28490.0,29177.0,9.0,87.4,1.5,0.3,0.1,0.0,42513.0,47412.0,2630.0,22021.0,850.0,15.6,25.4,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35.0,21380.0,83.9,11.9,4.0,0.1,4.9,0.9034770209498738,0.09652297905012613,0.0,0.11749580372129567,0.0,0.0
3446,1146,0.0,1108.0,0.0,0.0,10478.0,5616.0,4862.0,0.3,21.6,75.6,1.0,0.7,0.0,8212.0,29655.0,5376.0,20856.0,2355.0,28.5,50.4,19.7,17.1,18.6,14.0,30.6,73.1,15.7,0.3,6.2,1.7,3.0,29.8,4290.0,81.4,13.6,5.0,0.0,12.1,0.2495644599303136,0.7504355400696864,1.0,0.0,0.0,0.0
3965,5458,4193.0,0.0,0.0,0.0,20126.0,9416.0,10710.0,0.3,52.2,44.7,0.1,1.1,0.0,15459.0,36326.0,2701.0,19004.0,943.0,24.4,34.8,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0.0,0.9,0.9,2.0,23.2,7727.0,79.1,15.3,5.3,0.3,7.6,0.579221054865754,0.420778945134246,0.0,0.43446274997409595,0.0,0.0
15216,35101,16808.0,0.0,0.0,0.0,115527.0,55593.0,59934.0,3.6,72.7,20.4,0.2,1.0,0.0,88383.0,43686.0,1491.0,23638.0,793.0,18.6,26.6,29.0,17.5,23.7,10.4,19.4,85.0,9.2,0.2,1.3,1.1,3.2,24.8,47392.0,74.9,19.9,5.1,0.1,10.1,0.6975972335393604,0.30240276646063957,0.0,0.32379741470650564,0.0,0.0
6365,8753,6908.0,0.0,0.0,0.0,33895.0,16320.0,17575.0,2.2,56.2,39.3,0.3,1.0,0.0,26259.0,37342.0,2011.0,22002.0,1205.0,18.8,29.1,24.3,13.5,23.0,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2.0,23.6,14527.0,84.5,11.8,3.7,0.0,6.4,0.5789787008863606,0.4210212991136394,0.0,0.4410957154715535,0.0,0.0
1624,10583,2112.0,0.0,0.0,0.0,25855.0,12862.0,12993.0,1.6,91.8,5.0,0.5,0.1,0.0,20620.0,40041.0,2316.0,23010.0,1354.0,16.1,20.0,28.8,14.8,18.1,11.9,26.5,85.0,12.1,0.4,0.3,0.3,2.0,26.5,9879.0,74.8,17.1,8.1,0.0,5.3,0.8669615794216433,0.1330384205783567,0.0,0.16636471051595117,0.0,0.0
3073,16085,3499.0,0.0,0.0,0.0,43805.0,21554.0,22251.0,7.7,80.4,9.5,0.4,0.4,0.0,31776.0,43501.0,2877.0,23368.0,1925.0,19.4,27.8,25.3,14.5,23.7,15.5,21.0,83.2,12.6,0.1,0.6,1.8,1.7,32.5,17675.0,81.1,14.0,4.5,0.4,6.7,0.8395970351811254,0.16040296481887462,0.0,0.17866625816993464,0.0,0.0
3127,4296,3225.0,0.0,0.0,0.0,13188.0,6277.0,6911.0,0.5,56.3,42.1,0.0,0.1,0.0,10454.0,32122.0,2797.0,20994.0,1307.0,22.3,32.8,23.6,15.4,22.0,17.1,21.9,81.8,13.7,0.0,1.7,1.2,1.6,32.7,4301.0,79.9,14.8,4.9,0.4,9.8,0.5787417486191567,0.42125825138084333,0.0,0.4287993617869964,0.0,0.0
5755,7324,6017.0,0.0,0.0,0.0,24625.0,11649.0,12976.0,0.2,53.0,45.7,0.1,0.5,0.1,19087.0,33827.0,2336.0,20765.0,1203.0,25.3,30.7,21.6,14.3,24.8,13.7,25.6,83.7,11.9,0.2,0.7,2.7,0.9,23.9,7933.0,83.1,11.8,5.1,0.0,15.2,0.5599816499732395,0.44001835002676043,0.0,0.45101566599205456,0.0,0.0
1267,5601,1441.0,0.0,0.0,0.0,13407.0,6471.0,6936.0,3.1,80.2,14.7,0.9,0.0,0.0,10332.0,37287.0,6507.0,21330.0,1553.0,19.1,23.5,22.2,14.6,18.4,12.9,31.9,87.5,6.0,0.0,2.8,0.6,3.0,30.3,5509.0,77.8,14.5,7.7,0.0,6.4,0.8155212580081538,0.18447874199184625,0.0,0.20462936665719966,0.0,0.0
675,6484,843.0,0.0,0.0,0.0,14939.0,7367.0,7572.0,2.4,92.7,2.8,0.3,0.5,0.0,11329.0,37396.0,5390.0,20873.0,1251.0,19.1,31.0,25.7,11.4,23.2,18.0,21.7,81.8,14.5,0.0,0.9,0.1,2.7,33.2,5743.0,76.1,15.7,8.2,0.0,7.8,0.9057130884201704,0.09428691157982959,0.0,0.11505391019516856,0.0,0.0
5076,16899,5753.0,0.0,0.0,0.0,51073.0,25225.0,25848.0,6.7,71.0,17.1,1.0,1.3,0.0,38026.0,49821.0,1945.0,26216.0,950.0,16.1,26.3,31.6,17.3,21.4,13.1,16.7,86.6,8.1,0.0,1.0,1.4,2.8,21.7,21639.0,73.6,20.7,5.6,0.1,6.0,0.7690102389078498,0.23098976109215016,0.0,0.253973159102949,0.0,0.0
8343,19203,9408.0,0.0,0.0,0.0,54435.0,26143.0,28292.0,2.4,78.8,15.9,0.7,0.5,0.0,42195.0,45477.0,1959.0,23675.0,816.0,16.8,24.1,27.1,15.4,26.0,11.2,20.3,89.1,7.3,0.1,0.7,0.8,2.0,23.1,22180.0,78.1,16.1,5.5,0.3,6.9,0.6971248094097147,0.30287519059028534,0.0,0.3288245779595261,0.0,0.0
2966,3442,3098.0,0.0,0.0,0.0,12649.0,6040.0,6609.0,1.8,50.3,46.3,0.2,0.0,0.0,9812.0,30434.0,3446.0,16337.0,934.0,26.4,39.3,15.9,19.7,24.3,12.8,27.4,90.0,6.7,0.4,0.8,0.4,1.7,29.6,3945.0,79.5,12.3,7.2,1.0,14.5,0.5371410736579276,0.46285892634207243,0.0,0.47370030581039757,0.0,0.0
1796,3631,1899.0,0.0,0.0,0.0,10955.0,5474.0,5481.0,0.1,65.3,33.2,0.1,0.0,0.0,8989.0,34792.0,3587.0,20342.0,1728.0,14.4,17.9,17.6,23.2,23.7,14.5,20.9,83.2,9.7,0.6,1.7,0.6,4.2,29.8,3897.0,78.8,15.9,5.4,0.0,11.3,0.6690620969227934,0.33093790307720655,0.0,0.3433996383363472,0.0,0.0
